"Table 8.1.5. Gross Domestic Product, Not Seasonally Adjusted"
"[Billions of dollars at quarterly rates]" 
"Bureau of Economic Analysis" 
"Last Revised on: December 21, 2018 - Next Release Date January 30, 2019"
"Line","","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3"
"1","        Gross domestic product",2631.5,2724.2,2753.4,2827.3,2744.1,2832.5,2887.1,2994.5,2922.1,3033.3,3069.0,3189.4,3109.2,3231.1,3305.7,3390.6,3334.0,3462.0,3463.2,3555.4,3479.6,3611.0,3630.6,3730.8,3643.4,3704.6,3682.9,3682.1,3511.0,3593.5,3617.0,3727.4,3592.2,3744.1,3778.6,3877.2,3748.3,3881.1,3913.8,3999.4,3947.6,4036.1,4071.2,4142.1,4049.6,4163.9,4234.4,4337.0,4196.2,4356.2,4444.5,4524.8,4387.1,4564.3,4609.0,4658.9,4494.2,4670.2,4728.1,4814.8,4652.8,4856.4,4933.7,5042.5,4901.5,5133.5,5194.2
"2","Personal consumption expenditures",1758.1,1818.4,1839.5,1926.7,1842.7,1907.2,1940.4,2032.8,1961.5,2026.7,2051.3,2173.1,2074.7,2159.9,2205.2,2307.3,2214.8,2305.0,2322.8,2417.8,2331.0,2412.5,2423.5,2539.4,2452.1,2515.1,2502.2,2506.9,2373.8,2446.5,2470.4,2551.5,2449.6,2538.4,2549.9,2648.0,2554.5,2663.5,2671.5,2751.6,2671.6,2749.7,2741.4,2844.0,2724.1,2815.6,2827.8,2949.6,2815.2,2945.2,2969.5,3094.1,2936.1,3070.9,3086.3,3201.3,3047.4,3180.8,3202.1,3336.5,3177.8,3320.8,3332.3,3490.6,3329.1,3488.9,3506.6
"3","    Goods",596.5,640.2,646.5,715.5,615.7,667.5,684.1,755.4,663.3,712.2,718.5,808.0,697.0,758.4,777.6,849.9,738.4,807.7,812.4,881.3,769.8,839.1,834.7,923.4,814.8,861.4,845.7,841.3,730.8,783.4,801.4,864.4,772.4,820.7,821.1,903.7,818.6,877.9,874.5,947.1,864.9,902.0,896.0,974.8,874.5,918.2,926.8,1010.5,889.4,960.1,965.1,1047.0,902.3,973.6,981.2,1062.6,925.3,986.9,993.4,1090.8,950.9,1025.9,1035.0,1144.3,1005.3,1078.5,1081.5
"4","        Durable goods",226.5,243.3,249.6,266.0,223.9,252.3,261.4,280.2,245.3,265.9,272.2,297.2,254.3,284.3,289.8,300.2,263.4,288.8,292.8,313.3,271.5,297.8,298.1,320.6,270.8,285.0,273.8,269.2,232.5,247.8,259.1,272.6,238.1,260.0,262.8,288.1,253.6,269.5,271.8,298.6,268.2,282.1,282.5,311.4,274.4,294.3,296.4,324.3,277.9,307.6,313.2,343.7,294.6,324.9,328.8,358.2,305.8,332.0,338.5,370.4,315.4,348.0,353.3,389.7,332.7,364.6,363.8
"5","        Nondurable goods",370.1,397.0,396.9,449.5,391.8,415.2,422.7,475.1,418.0,446.3,446.3,510.9,442.7,474.1,487.8,549.7,475.0,518.8,519.6,567.9,498.3,541.2,536.6,602.8,544.0,576.5,571.9,572.1,498.3,535.6,542.3,591.8,534.3,560.7,558.3,615.6,565.0,608.4,602.7,648.4,596.7,619.9,613.5,663.4,600.1,623.9,630.4,686.2,611.5,652.5,651.9,703.3,607.7,648.7,652.4,704.4,619.6,654.9,654.9,720.3,635.4,677.9,681.7,754.6,672.7,713.9,717.7
"6","    Services",1161.5,1178.2,1192.9,1211.2,1227.0,1239.7,1256.4,1277.5,1298.2,1314.5,1332.8,1365.0,1377.7,1401.5,1427.6,1457.4,1476.4,1497.3,1510.4,1536.5,1561.2,1573.4,1588.7,1616.1,1637.3,1653.7,1656.5,1665.7,1643.0,1663.1,1669.0,1687.1,1677.2,1717.8,1728.8,1744.3,1735.9,1785.6,1796.9,1804.5,1806.8,1847.7,1845.4,1869.3,1849.6,1897.4,1901.1,1939.1,1925.8,1985.1,2004.5,2047.1,2033.8,2097.3,2105.1,2138.7,2122.1,2193.9,2208.7,2245.8,2226.9,2294.8,2297.3,2346.3,2323.8,2410.4,2425.0
"7","Gross private domestic investment",455.8,483.4,509.2,482.0,481.5,493.0,528.7,523.8,524.7,574.4,599.5,582.6,593.9,625.2,671.1,644.5,659.4,693.1,699.9,648.6,644.4,680.2,696.8,651.6,643.6,632.4,637.4,564.3,484.3,455.4,492.0,498.0,487.5,538.3,587.8,551.8,548.4,565.5,612.2,606.4,638.2,648.1,693.2,642.3,666.3,689.5,758.0,712.3,713.7,749.6,811.6,764.1,781.9,812.8,846.5,770.9,761.6,795.6,830.4,782.2,771.8,842.4,905.0,848.8,854.8,913.0,971.3
"8","    Fixed investment",446.3,490.8,490.5,482.8,451.6,510.6,525.4,525.4,493.9,562.8,580.5,579.9,551.3,631.3,650.1,644.5,615.1,680.9,677.5,658.5,615.4,681.4,678.6,663.7,609.8,653.1,641.6,602.4,507.0,524.0,525.8,523.6,476.5,539.8,540.4,554.8,512.5,571.2,592.3,610.3,588.6,648.4,647.1,666.5,625.7,688.5,696.2,711.1,669.5,747.8,762.0,775.2,716.6,789.2,791.8,785.6,727.7,801.1,804.6,807.5,765.7,850.9,856.8,869.0,824.3,926.4,925.1
"9","        Nonresidential",330.3,343.2,338.2,341.2,323.7,347.1,347.0,358.1,342.7,364.8,371.6,388.2,377.7,406.2,410.8,426.3,422.5,450.3,454.1,467.0,455.7,487.9,493.5,511.5,488.8,508.6,502.7,490.9,421.6,422.2,419.6,427.0,396.6,431.9,442.3,464.2,434.4,469.0,489.5,514.7,501.7,534.7,529.4,552.8,523.1,551.1,554.6,582.6,557.2,599.0,607.8,630.3,587.9,621.0,617.3,623.5,580.6,614.8,616.3,630.4,605.9,650.2,654.3,677.5,653.8,710.4,709.2
"10","            Structures",70.5,73.8,72.7,70.1,64.6,72.7,75.3,74.0,68.5,76.2,81.6,81.4,78.5,87.3,92.0,95.2,93.7,106.0,112.2,113.3,110.0,125.1,135.3,139.9,132.2,142.8,148.0,148.1,123.2,117.2,111.9,103.5,87.1,95.1,97.4,100.2,84.0,97.9,108.4,114.2,110.6,121.7,124.1,123.0,107.7,120.2,130.9,133.7,128.2,143.2,149.8,155.8,138.3,148.3,147.3,138.4,123.6,135.7,143.2,143.3,133.4,147.6,151.4,153.0,143.2,161.4,164.2
"11","            Equipment",159.5,168.0,164.5,167.6,157.4,171.0,167.3,175.0,167.0,180.9,181.0,193.0,185.3,201.4,200.2,208.1,205.4,218.4,215.7,222.7,213.9,227.2,222.2,230.1,214.2,221.6,212.6,197.1,163.0,165.2,166.1,175.9,172.6,194.5,200.0,209.9,201.1,217.4,226.5,236.3,232.4,250.7,243.4,256.9,245.6,261.1,252.2,268.2,253.4,276.4,277.7,283.3,266.0,284.8,281.3,286.2,262.6,278.6,271.6,278.1,266.0,290.4,290.0,304.0,290.0,316.1,311.2
"12","            Intellectual property products",100.4,101.4,101.0,103.4,101.8,103.4,104.3,109.1,107.3,107.7,109.0,113.8,113.9,117.5,118.6,123.1,123.3,125.9,126.3,130.9,131.9,135.6,135.9,141.4,142.4,144.2,142.1,145.7,135.3,139.8,141.6,147.6,136.9,142.3,145.0,154.1,149.3,153.7,154.5,164.2,158.6,162.3,162.0,172.9,169.8,169.8,171.5,180.8,175.5,179.4,180.3,191.2,183.6,187.9,188.7,198.9,194.5,200.5,201.5,209.1,206.4,212.1,213.0,220.5,220.6,232.9,233.8
